评论内容,点赞数量,评论时间,用户名,作品标题,平台
广告太多了，到处都是推广,15,2024-01-15 10:30:00,用户A,短视频1,抖音
Office更稳定一些,8,2024-01-15 11:00:00,用户B,短视频1,抖音
广告太多了，到处都是推广,12,2024-01-15 14:00:00,用户C,短视频2,快手
越来越卡了,25,2024-01-16 09:00:00,用户D,产品体验,微信
收费太高了,30,2024-01-16 10:00:00,用户E,短视频3,抖音
Office更好用,5,2024-01-16 15:00:00,用户F,短视频3,抖音
功能建议增加导出,18,2024-01-17 08:00:00,用户G,短视频4,B站
WPS也不错国产软件,22,2024-01-17 20:00:00,用户H,短视频5,B站
不会用界面太复杂了,7,2024-01-18 16:30:00,用户I,新手教程,抖音
很好用支持,45,2024-01-18 18:00:00,用户J,短视频6,小红书
客服态度很差,11,2024-01-19 12:00:00,用户K,问题反馈,官网
广告太多了到处都是推广,20,2024-01-19 13:00:00,用户L,短视频7,抖音
更新后速度快了很多,14,2024-01-20 07:00:00,用户M,短视频8,抖音
会员太贵了,33,2024-01-20 21:00:00,用户N,短视频8,抖音
视频内容很棒学习了,28,2024-01-21 10:00:00,用户O,短视频9,B站
一直闪退怎么办,16,2024-01-22 11:00:00,用户P,问题反馈,官网
能不能增加批量导出,9,2024-01-22 14:00:00,用户Q,功能建议,抖音
比WPS差远了,21,2024-01-23 09:00:00,用户R,短视频10,小红书
免费版功能太少了,13,2024-01-23 15:00:00,用户S,短视频10,抖音
希望增加模板功能,6,2024-01-24 08:00:00,用户T,功能建议,官网
